Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,1.029841485,-0.8%,1.2%,Fremont,25,4.2%,13.6%,10,-44.4%,0.0%,11,-6,-5,570.595099183,-0.010719150,0.133134738,579000,0.038565022,0.135294118,609.260763607,0.046326501,0.232968430,$530K,-9.0%,10.6%,0.4,-0.4,-0.1,17,-22.7%,88.9%,12/1/2017,30,12/31/2017,0.1,,-0.1,Condo/Co-op,"Fremont, CA",place,0.72,-0.03,0.038181818,California,CA,6671
Value,,1,1.018918688,0.2%,-1.0%,San Ramon,16,-15.8%,-30.4%,20,42.9%,25.0%,10,-3,-1,461.224488666,-0.038289341,0.063378682,506975,-0.047889572,0.115579272,508.132579714,0.055731768,0.132763848,$480K,-6.8%,-9.1%,1.3,0.6,0.6,24,9.1%,-14.3%,4/1/2016,30,4/30/2016,0.15,-0.207142857,-0.0375,Condo/Co-op,"San Ramon, CA",place,0.5625,0.036184211,-0.220108696,California,CA,17519
Value,,1,0.989501281,-0.2%,2.1%,Berkeley,6,-14.3%,-40.0%,25,19.0%,-45.7%,56,39,-14,346.583850932,-0.047345867,-0.003892340,395000,0.130185980,0.070460705,314.969508010,-0.098786668,-0.275402595,$324K,-28.0%,-14.9%,4.2,1.2,-0.400000000,11,-21.4%,-26.7%,3/1/2012,30,3/31/2012,0.2,0.152380952,-0.126086957,Condo/Co-op,"Berkeley, CA",place,0.5,0.214285714,0.3,California,CA,1590
Value,,1,1.093874648,0.6%,3.9%,Oakland,73,62.2%,12.3%,65,-5.8%,-29.3%,15,1,-1,539.456662354,-0.030310000,0.011417280,579000,0.054644809,0.092452830,588.235294118,-0.067653551,0.067152525,$590K,5.4%,12.4%,0.9,-0.6,-0.5,71,-7.8%,-4.1%,10/1/2017,30,10/31/2017,0.107692308,-0.051727982,-0.120568562,Condo/Co-op,"Oakland, CA",place,0.821917808,-0.022526636,0.103167808,California,CA,13654
Value,,1,1.031707709,-0.8%,-2.6%,Fremont,31,-6.1%,6.9%,29,-3.3%,16.0%,13,-2,2,501.149145640,-0.028236939,0.141028426,498000,-0.060288706,0.109254928,520.202020202,-0.005659650,0.1265625,$525K,-2.8%,19.0%,0.9,0,0,46,7.0%,15.0%,4/1/2016,30,4/30/2016,0.137931034,-0.095402299,-0.022068966,Condo/Co-op,"Fremont, CA",place,0.774193548,-0.013685239,-0.018909900,California,CA,6671
Value,,1,1.028771435,1.3%,-3.3%,Fremont,37,68.2%,37.0%,16,-46.7%,23.1%,14,1,0,366.931883382,0.042388212,0.463627736,399944,0.172856305,0.486780669,376.518218623,0.017658206,0.327386262,$386K,3.6%,35.0%,0.4,-1,-0.1,16,-44.8%,-15.8%,12/1/2013,30,12/31/2013,0.1875,-0.0125,,Condo/Co-op,"Fremont, CA",place,0.621621622,0.030712531,-0.119119119,California,CA,6671
Value,,1,1.020283228,-0.1%,-2.7%,Fremont,36,20.0%,-7.7%,41,-4.7%,28.1%,16,0,5,508.664627931,0.002825787,0.063035353,544000,0.091492777,0.160191773,509.256715507,-0.036484441,0.038883700,$530K,-5.1%,8.1%,1.1,-0.3,0.3,38,-17.4%,-19.1%,8/1/2016,30,8/31/2016,0.317073171,0.224049915,0.160823171,Condo/Co-op,"Fremont, CA",place,0.722222222,-0.044444444,-0.175213675,California,CA,6671
Value,,1,1.002421517,-1.1%,-0.5%,San Ramon,18,20.0%,-5.3%,19,-40.6%,90.0%,15,-1,0,474.179679238,-0.052518752,0.196123597,563000,0.023822513,0.150211962,496.764999038,0.070080670,0.082847341,$554K,13.0%,5.5%,1.1,-1,0.6,12,-55.6%,0.0%,10/1/2016,30,10/31/2016,0.421052632,0.202302632,0.221052632,Condo/Co-op,"San Ramon, CA",place,0.5,-0.233333333,-0.078947368,California,CA,17519
Value,,1,1.018048641,0.1%,0.6%,Fremont,22,-12.0%,-15.4%,10,-52.4%,-50.0%,16,-11,-3,503.554502370,0.015402844,-0.002819631,510000,0.028225806,0.228915663,494.141414141,-0.042661448,-0.036129332,$479K,-5.1%,10.4%,0.5,-0.3,-0.3,9,-60.9%,-30.8%,12/1/2016,30,12/31/2016,0.2,0.009523810,0.15,Condo/Co-op,"Fremont, CA",place,0.681818182,0.081818182,0.143356643,California,CA,6671
Value,,1,1.018073266,-1.2%,4.6%,Alameda,9,80.0%,28.6%,10,-41.2%,-77.3%,42,30,-12,254.341164454,-0.037384816,0.004806991,240000,-0.197324415,0.067971966,249.110320285,-0.077295374,0.036476868,$205K,-18.0%,-18.0%,1.1,-2.3,-5.2,11,10.0%,-8.3%,8/1/2012,30,8/31/2012,0.1,-0.017647059,-0.240909091,Condo/Co-op,"Alameda, CA",place,0.666666667,0.066666667,0.523809524,California,CA,117
Value,,1,1.026413971,-3.4%,-0.6%,Dublin,26,36.8%,52.9%,30,11.1%,25.0%,11,2,-3,345.080294853,0.049494201,0.344394268,477475,0.018070362,0.364311737,350.518902891,0.001482580,0.331971831,$445K,-5.3%,36.9%,1.2,-0.2,-0.2,24,-11.1%,9.1%,7/1/2013,30,7/31/2013,0.133333333,-0.014814815,0.008333333,Condo/Co-op,"Dublin, CA",place,0.653846154,-0.135627530,0.006787330,California,CA,5159
Value,,1,1.124622162,6.0%,5.6%,Oakland,28,7.7%,-26.3%,40,14.3%,-41.2%,14,-5,0,572.787764842,-0.070017192,0.059817577,575000,-0.040066778,-0.020442930,685.519075647,0.218911865,0.217190801,$641K,15.0%,15.1%,1.4,0.100000000,-0.4,50,11.1%,-24.2%,2/1/2018,30,2/28/2018,0.175,0.003571429,0.130882353,Condo/Co-op,"Oakland, CA",place,0.777777778,0.047008547,0.119883041,California,CA,13654
Value,,1,1.006455954,-0.2%,-0.9%,San Ramon,18,63.6%,50.0%,18,20.0%,20.0%,9,-64,-3,416.126042632,0.012423762,0.096954331,470000,0.068181818,0.179422836,430.340057556,0.066086126,0.117476108,$427K,-14.6%,4.9%,1,-0.4,-0.3,29,70.6%,45.0%,3/1/2015,30,3/31/2015,0.111111111,,-0.088888889,Condo/Co-op,"San Ramon, CA",place,0.5,0.136363636,-0.25,California,CA,17519
Value,,1,1.080852632,1.3%,4.9%,Oakland,33,-53.5%,-5.7%,36,44.0%,-20.0%,17,2,-17,521.252796421,0.045674303,0.196950866,479000,-0.121100917,0.221938776,527.397260274,-0.012772388,0.170266763,$495K,2.1%,37.1%,1.1,0.7,-0.2,48,182.4%,-4.0%,1/1/2016,30,1/31/2016,0.083333333,-0.036666667,0.061111111,Condo/Co-op,"Oakland, CA",place,0.878787879,0.132309006,0.307359307,California,CA,13654
Value,,1,1.068538180,-4.7%,-0.9%,Berkeley,5,0.0%,0.0%,3,-25.0%,,36,22,22,,,,,,,738.095238095,-0.198809524,-0.109013605,$678K,8.5%,-3.1%,0.6,-0.2,,,,,12/1/2017,30,12/31/2017,,,,Condo/Co-op,"Berkeley, CA",place,0.4,-0.4,-0.2,California,CA,1590
Value,,1,1.035087313,0.2%,-0.7%,San Ramon,11,-8.3%,-45.0%,35,45.8%,250.0%,12,1,-4,355.662904516,-0.095193571,0.282277506,393450,0.049200000,0.457222222,402.033271719,0.076135346,0.463846329,$410K,6.2%,56.9%,3.2,1.2,2.7,28,21.7%,64.7%,9/1/2013,30,9/30/2013,0.342857143,-0.032142857,0.242857143,Condo/Co-op,"San Ramon, CA",place,0.636363636,0.136363636,0.236363636,California,CA,17519
Value,,1,0.970507404,-0.6%,12.7%,Alameda,6,0.0%,100.0%,18,5.9%,-51.4%,114,-55,-26,239.835858586,-0.139740665,-0.002075130,356500,0.235701906,0.299908842,223.515919825,-0.050057341,0.048425502,$236K,-6.6%,30.2%,3,0.2,-9.3,7,-12.5%,-12.5%,3/1/2012,30,3/31/2012,0.166666667,-0.068627451,-0.130630631,Condo/Co-op,"Alameda, CA",place,0.166666667,0.166666667,-0.166666667,California,CA,117
Value,,1,1.037351754,-0.6%,-2.6%,Oakland,66,4.8%,17.9%,100,28.2%,-11.5%,17,-2,0,403.019552842,0.023548734,0.171779037,395000,0.053333333,0.012820513,421.926024497,-0.004254582,0.114799793,$400K,-5.9%,-4.2%,1.5,0.3,-0.5,92,27.8%,4.5%,9/1/2014,30,9/30/2014,0.23,-0.000769231,0.114955752,Condo/Co-op,"Oakland, CA",place,0.590909091,0.035353535,-0.016233766,California,CA,13654
Value,,1,1.064642716,0.1%,0.8%,Oakland,26,-55.9%,-38.1%,35,45.8%,-32.7%,19,2,-5,615.912208505,0.074545932,0.125598821,599000,0.056437390,0.140952381,562.402496100,0.000607774,0.059756190,$558K,-3.9%,5.2%,1.3,0.9,0.1,45,87.5%,-10.0%,1/1/2018,30,1/31/2018,0.171428571,0.004761905,0.075274725,Condo/Co-op,"Oakland, CA",place,0.730769231,-0.048891786,0.111721612,California,CA,13654
Value,,1,1.036079512,1.4%,5.6%,San Ramon,14,-12.5%,-36.4%,21,5.0%,-60.4%,11,4,-13,252.776928119,-0.005846522,0.292184774,273575,0.107591093,0.563285714,265.345265788,-0.079556422,0.203236058,$195K,-38.7%,11.6%,1.5,0.2,-0.9,18,-10.0%,-18.2%,7/1/2012,30,7/31/2012,0.047619048,-0.002380952,-0.254267745,Condo/Co-op,"San Ramon, CA",place,0.428571429,-0.258928571,0.110389610,California,CA,17519
Value,,1,1.028928829,0.1%,1.6%,San Ramon,21,0.0%,5.0%,17,21.4%,-15.0%,13,4,-1,547.385620915,-0.011101697,0.084425853,579000,-0.0736,0.129756098,564.123376623,0.087559492,0.181881537,$555K,-21.3%,1.4%,0.8,0.1,-0.2,25,-19.4%,13.6%,6/1/2018,30,6/30/2018,0.235294118,0.163865546,-0.064705882,Condo/Co-op,"San Ramon, CA",place,0.761904762,0,0.161904762,California,CA,17519
Value,,1,1.085207219,-3.3%,3.2%,Oakland,73,15.9%,10.6%,43,-42.7%,-17.3%,18,1,1,503.009458298,0.053591154,0.222666914,539000,0.149253731,0.364556962,505.709624796,-0.050570962,0.155769777,$510K,-1.4%,25.9%,0.6,-0.6,-0.2,37,-52.6%,37.0%,11/1/2015,30,11/30/2015,0.116279070,0.009612403,-0.114490161,Condo/Co-op,"Oakland, CA",place,0.753424658,-0.024353120,0.041303445,California,CA,13654
Value,,1,1.004806218,0.8%,-0.2%,San Ramon,17,0.0%,-22.7%,33,-17.5%,17.9%,13,-5,-5,402.541020794,-0.013620857,0.071629474,454500,0.044827586,0.228378378,398.489932886,-0.007994473,0.165105905,$440K,2.3%,25.7%,1.9,-0.5,0.6,24,14.3%,41.2%,10/1/2014,30,10/31/2014,0.393939394,0.168939394,-0.034632035,Condo/Co-op,"San Ramon, CA",place,0.529411765,0.176470588,0.165775401,California,CA,17519
Value,,1,1.049227587,0.8%,-2.5%,Oakland,71,34.0%,51.1%,80,-7.0%,27.0%,17,0,2,388.056036048,-0.032734399,0.219063840,375000,0.000266738,0.363636364,400,0.007989972,0.191635766,$395K,0.0%,36.2%,1.1,-0.5,-0.2,84,1.2%,47.4%,4/1/2014,30,4/30/2014,0.075,-0.099418605,-0.020238095,Condo/Co-op,"Oakland, CA",place,0.633802817,0.011161307,-0.174707821,California,CA,13654
Value,,1,1.050388178,2.5%,14.8%,Berkeley,8,-11.1%,100.0%,13,-31.6%,-50.0%,44,24,-47,467.105263158,0.092142965,0.924938236,395000,0.122159091,0.271732131,415.376472269,-0.098456078,0.614452848,$418K,-1.1%,59.5%,1.6,-0.5,-4.9,9,0.0%,50.0%,11/1/2012,30,11/30/2012,0.307692308,0.097165992,0.115384615,Condo/Co-op,"Berkeley, CA",place,0.375,-0.180555556,0.125,California,CA,1590
Value,,1,1.049826142,0.5%,1.5%,San Ramon,15,66.7%,-21.1%,12,20.0%,-14.3%,12,0,-3,363.891487371,0.002707004,0.283943369,389000,-0.025062657,0.227322922,378.260869565,0.065102975,0.529957582,$435K,14.5%,76.8%,0.8,-0.3,0.1,15,0.0%,-6.3%,5/1/2013,30,5/31/2013,0.083333333,-0.016666667,0.011904762,Condo/Co-op,"San Ramon, CA",place,0.6,-0.066666667,0.021052632,California,CA,17519
Value,,1,1.097591895,-0.4%,11.1%,Fremont,31,121.4%,-31.1%,22,37.5%,-57.7%,11,2,-12,350.140056022,0.088517841,0.619811217,349950,0.012147505,0.555333333,336.056009335,0.012150509,0.671098188,$325K,9.4%,71.1%,0.7,-0.4,-0.5,37,32.1%,-9.8%,4/1/2013,30,4/30/2013,0.136363636,-0.176136364,0.078671329,Condo/Co-op,"Fremont, CA",place,0.806451613,-0.050691244,0.406451613,California,CA,6671
Value,,1,1.151141824,9.5%,11.1%,Berkeley,4,100.0%,-60.0%,4,100.0%,-55.6%,15,1,0,541.077336642,-0.252797964,0.001947915,432000,-0.076923077,-0.104663212,908.646616541,0.182592055,0.569906864,$566K,5.2%,13.1%,1,0,0.1,4,-20.0%,-50.0%,2/1/2016,30,2/29/2016,,,,Condo/Co-op,"Berkeley, CA",place,0.75,-0.25,-0.05,California,CA,1590
Value,,1,0.963353792,-2.7%,-2.7%,Berkeley,5,0.0%,0.0%,17,-5.6%,-63.0%,135,101,88,378.571428571,0.126700680,0.001758242,300000,-0.285714286,0.071811361,246.500777605,-0.179579479,-0.367226047,$209K,-37.6%,-47.8%,3.4,-0.2,-5.8,11,266.7%,-26.7%,1/1/2012,30,1/31/2012,0.117647059,-0.215686275,-0.056265985,Condo/Co-op,"Berkeley, CA",place,0,-0.2,-0.2,California,CA,1590
Value,,1,1.041741194,-3.4%,7.9%,San Ramon,20,66.7%,53.8%,10,-23.1%,-80.4%,16,8,1,277.368122518,0.001843793,0.075672527,270000,0.003717472,0.000185219,274.641718777,0.039441231,0.183456134,$261K,-12.3%,63.3%,0.5,-0.6,-3.4,17,-10.5%,-22.7%,9/1/2012,30,9/30/2012,0.1,-0.207692308,-0.135294118,Condo/Co-op,"San Ramon, CA",place,0.4,-0.433333333,0.169230769,California,CA,17519
Value,,1,1.018839898,-1.9%,2.3%,Dublin,6,-60.0%,-25.0%,6,100.0%,-14.3%,12,4,-16,490.463289574,-0.147357985,0.190538461,647500,0.135964912,-0.024114544,532.361182790,0.043256189,0.095566171,$583K,-6.0%,4.1%,1,0.8,0.1,18,200.0%,12.5%,1/1/2018,30,1/31/2018,,,,Condo/Co-op,"Dublin, CA",place,0.666666667,-0.066666667,0.416666667,California,CA,5159
Value,,1,1.126803879,-1.4%,-12.3%,Berkeley,7,0.0%,-12.5%,11,0.0%,57.1%,14,0,-1,842.024539877,0.324352613,0.481963190,549000,-0.134751773,-0.083472454,751.205400193,-0.146183465,-0.011718082,$779K,-8.4%,-17.9%,1.6,0,0.7,7,-12.5%,-22.2%,4/1/2018,30,4/30/2018,0.454545455,,0.311688312,Condo/Co-op,"Berkeley, CA",place,0.857142857,0,-0.142857143,California,CA,1590
Value,,1,1.014533683,-1.1%,0.4%,Dublin,16,-36.0%,-5.9%,22,-18.5%,-24.1%,13,4,3,394.619129533,-0.036495629,0.082494436,620000,0.137614679,0.278350515,403.344370145,-0.067593534,0.030567526,$519K,-5.6%,6.1%,1.4,0.3,-0.3,16,-36.0%,-23.8%,10/1/2015,30,10/31/2015,0.181818182,0.144781145,-0.163009404,Condo/Co-op,"Dublin, CA",place,0.5,-0.34,0.029411765,California,CA,5159
Value,,1,1.041588797,-0.2%,-6.6%,Fremont,35,29.6%,-10.3%,36,-16.3%,24.1%,12,1,1,398,-0.017867258,0.120124847,399888,-0.035121753,0.193695522,404.984423676,-0.003624771,0.085101122,$420K,1.0%,12.0%,1,-0.6,0.3,41,-21.2%,-8.9%,5/1/2014,30,5/31/2014,0.25,0.133720930,0.077586207,Condo/Co-op,"Fremont, CA",place,0.857142857,-0.031746032,-0.014652015,California,CA,6671
Value,,1,1.007189424,-2.4%,0.2%,San Ramon,19,-24.0%,11.8%,10,-23.1%,-69.7%,15,-3,2,396.430335968,-0.107515064,-0.015180279,489475,0.090144766,0.076952695,458.758109361,0.006097561,0.151241403,$525K,11.7%,19.3%,0.5,0,-1.4,12,-29.4%,-50.0%,10/1/2015,30,10/31/2015,0.2,-0.184615385,-0.193939394,Condo/Co-op,"San Ramon, CA",place,0.578947368,0.018947368,0.049535604,California,CA,17519
Value,,1,1.039370756,0.4%,-6.2%,Fremont,26,44.4%,85.7%,23,0.0%,43.8%,13,0,4,373.75,0.006542770,0.161916599,384000,0.060937604,0.110629067,381.791062458,-0.017011256,0.149897658,$380K,-7.0%,27.9%,0.9,-0.4,-0.2,31,29.2%,10.7%,3/1/2014,30,3/31/2014,0.043478261,0,-0.269021739,Condo/Co-op,"Fremont, CA",place,0.730769231,-0.047008547,-0.126373626,California,CA,6671
Value,,1,1.027995799,1.2%,2.2%,San Ramon,16,-30.4%,33.3%,5,25.0%,-64.3%,8,0,-7,532.384649512,-0.025229246,0.112286326,610000,0.053642494,0.284210526,565.519867536,0.109397544,0.168305450,$663K,10.2%,28.8%,0.3,0.1,-0.9,17,-15.0%,13.3%,11/1/2017,30,11/30/2017,,,,Condo/Co-op,"San Ramon, CA",place,0.875,0.353260870,0.375,California,CA,17519
Value,,1,1.039961024,-3.3%,5.4%,Fremont,19,0.0%,-44.1%,16,-15.8%,-74.6%,26,8,-23,326.996197719,0.184521232,0.562816310,335000,0.229357798,0.634146341,266.955266955,-0.114832536,0.324819158,$260K,-8.8%,35.1%,0.8,-0.2,-1.1,21,-12.5%,-40.0%,2/1/2013,30,2/28/2013,,,,Condo/Co-op,"Fremont, CA",place,0.631578947,-0.210526316,0.219814241,California,CA,6671
Value,,1,0.998681473,-1.4%,-3.4%,San Ramon,21,-16.0%,75.0%,37,-2.6%,54.2%,15,1,4,403.719912473,-0.036364353,0.027063457,450000,0.185848870,0.2,384.283246978,-0.058359372,0.028623286,$451K,7.4%,16.8%,1.8,0.3,-0.2,23,-17.9%,0.0%,8/1/2014,30,8/31/2014,0.243243243,0.085348506,-0.131756757,Condo/Co-op,"San Ramon, CA",place,0.428571429,-0.091428571,-0.071428571,California,CA,17519
Value,,1,0.996687022,-0.4%,0.5%,Dublin,9,-57.1%,-10.0%,11,83.3%,-8.3%,33,7,1,398.698603125,-0.040001803,0.009246719,529944,-0.276721976,0.145886805,381.673881674,-0.041079197,0.160270728,$545K,-10.9%,17.2%,1.2,0.9,0,18,200.0%,0.0%,1/1/2016,30,1/31/2016,,,,Condo/Co-op,"Dublin, CA",place,0.222222222,-0.063492063,-0.177777778,California,CA,5159
Value,,1,1.005698130,-1.3%,3.0%,Fremont,37,19.4%,-9.8%,29,-17.1%,-72.6%,27,9,-28,213.634333053,-0.050514075,-0.003909789,236350,0.005744681,0.112235294,226.551226551,0.023478482,0.084356553,$233K,9.6%,5.9%,0.8,-0.3,-1.8,22,-24.1%,-45.0%,6/1/2012,30,6/30/2012,0.206896552,-0.078817734,-0.010084580,Condo/Co-op,"Fremont, CA",place,0.351351351,-0.261551874,0.083058668,California,CA,6671
Value,,1,1.057955024,0.8%,-5.3%,Alameda,10,66.7%,-9.1%,3,-62.5%,-57.1%,15,2,4,477.205882353,0.040960315,0.114176769,398000,-0.160337553,-0.050685748,495.707137965,0.019124912,0.007249216,$558K,13.9%,2.4%,0.3,-1,-0.3,5,-50.0%,-50.0%,7/1/2016,30,7/31/2016,,,,Condo/Co-op,"Alameda, CA",place,0.8,-0.2,-0.109090909,California,CA,117
Value,,1,1.058644753,3.4%,9.1%,Oakland,39,-13.3%,-25.0%,68,33.3%,-62.6%,20,0,-61,287.887204482,0.055586416,0.339195157,249000,0.050632911,0.185714286,304.083405734,-0.135583128,0.606812133,$300K,-7.7%,75.7%,1.7,0.6,-1.8,67,45.7%,8.1%,2/1/2013,30,2/28/2013,0.029411765,-0.029411765,-0.190368455,Condo/Co-op,"Oakland, CA",place,0.589743590,0.056410256,0.358974359,California,CA,13654
Value,,1,1.069411245,-0.2%,8.3%,Alameda,7,-46.2%,-50.0%,7,250.0%,-50.0%,11,1,-14,337.519623234,-0.002087909,0.305980452,299000,-0.144430932,0.124482888,320.970042796,-0.065493707,0.178646765,$270K,-11.5%,-22.9%,1,0.8,0,13,62.5%,44.4%,6/1/2013,30,6/30/2013,0.142857143,,-0.214285714,Condo/Co-op,"Alameda, CA",place,0.857142857,0.087912088,0.571428571,California,CA,117
Value,,1,1.045739608,0.7%,-1.2%,Alameda,11,37.5%,10.0%,15,66.7%,400.0%,18,-10,3,564.889393080,0.086761157,0.183743566,509900,-0.089464286,0.281155779,554.359526372,-0.057355973,0.118320645,$675K,17.9%,21.0%,1.4,0.3,1.1,13,-13.3%,160.0%,7/1/2017,30,7/31/2017,0.133333333,,,Condo/Co-op,"Alameda, CA",place,0.818181818,0.318181818,0.018181818,California,CA,117
Value,,1,1.038996695,-2.2%,-1.1%,Alameda,8,-27.3%,33.3%,9,-10.0%,12.5%,28,13,15,519.791666667,0.013264768,0.133855464,560000,0.121121121,0.181434599,588.090000353,0.070782053,0.209054952,$573K,9.0%,16.8%,1.1,0.2,-0.2,15,66.7%,50.0%,6/1/2017,30,6/30/2017,,,,Condo/Co-op,"Alameda, CA",place,0.5,-0.227272727,-0.5,California,CA,117
Value,,1,1.082084383,5.5%,5.4%,Alameda,9,12.5%,50.0%,8,-42.9%,-42.9%,17,-2,-21,333.214414032,-0.048277225,0.094914060,327000,-0.180451128,-0.028231798,361.809045226,0.005060346,0.225218058,$410K,3.3%,38.0%,0.9,-0.9,-1.4,8,-38.5%,33.3%,10/1/2013,30,10/31/2013,0.125,0.053571429,0.053571429,Condo/Co-op,"Alameda, CA",place,0.666666667,0.041666667,0,California,CA,117
Value,,1,1.067710345,1.0%,0.1%,Alameda,10,0.0%,-28.6%,5,66.7%,-66.7%,22,7,9,438.949850482,-0.080166723,-0.025238352,543500,0.365577889,0.203914550,528.300973414,0.065752201,0.129390081,$468K,-16.2%,-4.1%,0.5,0.2,-0.6,6,20.0%,-50.0%,8/1/2016,30,8/31/2016,0.4,,0.333333333,Condo/Co-op,"Alameda, CA",place,0.8,0,-0.057142857,California,CA,117
Value,,1,1.062383357,0.2%,1.0%,Alameda,10,11.1%,66.7%,17,70.0%,30.8%,14,-3,-2,436.590436590,-0.077579604,-0.000688582,475000,0.039387309,-0.024640657,451.421761214,-0.074227118,0.037185213,$481K,-15.6%,10.5%,1.7,0.6,-0.5,17,41.7%,41.7%,6/1/2015,30,6/30/2015,0.117647059,0.017647059,-0.036199095,Condo/Co-op,"Alameda, CA",place,0.8,0.244444444,0.133333333,California,CA,117
Value,,1,1.003779960,3.3%,5.4%,Alameda,3,-50.0%,-50.0%,22,22.2%,-51.1%,12,-102,-94,257.352941176,0.073037796,-0.080837851,329000,-0.077138850,0.253810976,277.717976319,0.242497521,0.192080074,$258K,9.4%,-1.7%,7.3,4.3,-0.2,15,114.3%,7.1%,4/1/2012,30,4/30/2012,0.136363636,-0.030303030,-0.108080808,Condo/Co-op,"Alameda, CA",place,0.666666667,0.5,0.666666667,California,CA,117
Value,,1,1.004100649,-2.2%,-5.3%,Dublin,19,-26.9%,72.7%,31,3.3%,14.8%,13,2,5,350.595238095,0.015981623,0.332261905,414450,-0.131996440,0.222566372,343.434343434,-0.020211633,0.166274995,$466K,4.7%,16.5%,1.6,0.4,-0.9,26,8.3%,36.8%,8/1/2013,30,8/31/2013,0.419354839,0.286021505,0.382317802,Condo/Co-op,"Dublin, CA",place,0.473684211,-0.180161943,-0.526315789,California,CA,5159
Value,,1,1.024401222,-0.4%,3.2%,San Ramon,7,-61.1%,-30.0%,5,25.0%,-64.3%,8,-2,-21,542.785234899,0.293200241,0.186671636,589000,0.115530303,-0.016694491,467.275494673,-0.187212742,-0.117006515,$585K,1.5%,21.0%,0.7,0.5,-0.7,15,114.3%,-21.1%,1/1/2018,30,1/31/2018,,,,Condo/Co-op,"San Ramon, CA",place,1,0.166666667,0.8,California,CA,17519
Value,,1,1.042686457,2.7%,3.5%,Alameda,7,-12.5%,250.0%,10,11.1%,42.9%,15,-15,-21,602.090618524,0.003950638,0.004652061,746500,0.255729846,0.250418760,615.690168818,0.098391261,0.163715025,$610K,-15.3%,11.7%,1.4,0.3,-2.1,6,-50.0%,50.0%,2/1/2018,30,2/28/2018,0.3,,0.157142857,Condo/Co-op,"Alameda, CA",place,0.857142857,0.482142857,0.357142857,California,CA,117
Value,,1,1.025774989,1.7%,-1.8%,Berkeley,9,-35.7%,0.0%,19,-13.6%,-29.6%,20,-22,-100,427.696078431,0.080492267,0.073998268,352000,-0.179487179,-0.150784077,460.739030023,0.316879060,0.608010057,$422K,8.9%,21.3%,2.1,0.5,-0.9,9,12.5%,50.0%,10/1/2012,30,10/31/2012,0.210526316,0.119617225,-0.122807018,Condo/Co-op,"Berkeley, CA",place,0.555555556,0.055555556,0.333333333,California,CA,1590
Value,,1,1.088327717,-2.4%,-2.2%,Berkeley,10,25.0%,-9.1%,2,-80.0%,-86.7%,17,2,2,503.837600246,-0.104709628,0.067604330,574500,0.367857143,0.151302605,612.628169865,0.066751468,0.200148628,$440K,-24.5%,-23.0%,0.2,-1.1,-1.2,4,-69.2%,-77.8%,5/1/2014,30,5/31/2014,0.5,,,Condo/Co-op,"Berkeley, CA",place,0.7,-0.05,-0.118181818,California,CA,1590
Value,,1,1.063043722,2.7%,-3.0%,Berkeley,8,100.0%,-11.1%,11,-8.3%,37.5%,15,4,-3,497.093023256,0.063393771,0.021326183,494000,0.183233533,0.238095238,565.895866093,-0.212461586,0.171027179,$508K,-31.6%,23.9%,1.4,-1.6,0.5,14,40.0%,55.6%,3/1/2014,30,3/31/2014,0.272727273,,0.022727273,Condo/Co-op,"Berkeley, CA",place,0.75,0,-0.027777778,California,CA,1590
Value,,1,0.988321099,-6.2%,-0.2%,Berkeley,15,87.5%,200.0%,6,-53.8%,-66.7%,41,-3,7,326.592530120,-0.300815992,-0.027998422,364900,-0.076202532,-0.131190476,424.528301887,0.022032614,0.412943740,$340K,-18.5%,1.6%,0.4,-1.2,-3.2,4,-55.6%,33.3%,12/1/2012,30,12/31/2012,0.5,0.192307692,0.166666667,Condo/Co-op,"Berkeley, CA",place,0.333333333,-0.041666667,0.133333333,California,CA,1590
Value,,1,1.026454037,-0.3%,1.0%,San Ramon,27,17.4%,80.0%,20,25.0%,-31.0%,11,0,2,442.571127503,0.020372322,0.152767619,489000,0.076025965,0.089086860,446.261682243,-0.005162982,0.165434052,$450K,-14.8%,18.1%,0.7,0,-1.2,25,-10.7%,-24.2%,5/1/2015,30,5/31/2015,0.15,-0.0375,0.046551724,Condo/Co-op,"San Ramon, CA",place,0.814814815,0.032206119,0.081481481,California,CA,17519
Value,,1,1.021904095,1.9%,2.1%,Dublin,19,72.7%,11.8%,10,-9.1%,-69.7%,13,-13,-87,291.679460625,0.092113365,0.234472377,462000,0.223841060,0.370919881,289.719626168,0.114582293,0.203450755,$340K,-15.2%,17.2%,0.5,-0.5,-1.4,8,-20.0%,-60.0%,12/1/2012,30,12/31/2012,0.1,,-0.203030303,Condo/Co-op,"Dublin, CA",place,0.684210526,0.229665072,0.154798762,California,CA,5159
