Worksheet Filter,Measure Display,Number of Records,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,City,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Period Begin,Period Duration,Period End,Price Drops,Price Drops Mom,Price Drops Yoy,Property Type,Region,Region Type,Sold Above List,Sold Above List Mom,Sold Above List Yoy,State,State Code,Table Id
Value,,1,1.118167181,1.1%,5.4%,Oakland,63,-16.0%,-18.2%,75,-16.7%,-27.9%,17,2,2,477.423767707,0.030861934,0.119185511,469000,-0.020876827,0.196428571,532.646048110,0.020037049,0.211433380,$517K,3.4%,26.1%,1.2,0,-0.2,78,-12.4%,-13.3%,10/1/2015,30,10/31/2015,0.106666667,-0.004444444,-0.037564103,Condo/Co-op,"Oakland, CA",place,0.777777778,-0.075555556,0.102453102,California,CA,13654
Value,,1,1.022251930,-1.2%,3.9%,San Ramon,16,-15.8%,-42.9%,20,42.9%,-68.8%,7,-8,-24,254.263485123,-0.102864654,0.058544635,247000,-0.220697271,0.033472803,288.279773157,0.166009652,0.233084100,$318K,29.1%,44.0%,1.3,0.6,-1,20,25.0%,-20.0%,6/1/2012,30,6/30/2012,0.05,-0.021428571,-0.246875,Condo/Co-op,"San Ramon, CA",place,0.6875,0.108552632,0.366071429,California,CA,17519
Value,,1,1.092739229,-6.4%,10.3%,Berkeley,9,80.0%,50.0%,8,-50.0%,-68.0%,18,8,-38,486.713286713,0.288051948,0.404316114,399000,-0.072093023,0.010126582,483.247422680,0.354416749,0.534267319,$410K,-3.8%,26.6%,0.9,-2.3,-3.3,9,-18.2%,-18.2%,3/1/2013,30,3/31/2013,0.25,0.125,0.05,Condo/Co-op,"Berkeley, CA",place,0.777777778,0.177777778,0.277777778,California,CA,1590
Value,,1,1.110066442,5.0%,9.6%,Berkeley,11,22.2%,83.3%,15,36.4%,-37.5%,15,-7,-1,471.932893016,-0.068183564,0.125802532,499000,0.109012112,0.136674260,510.460251046,0.051812909,0.152089569,$572K,28.4%,48.4%,1.4,0.2,-2.6,18,38.5%,20.0%,5/1/2013,30,5/31/2013,,,,Condo/Co-op,"Berkeley, CA",place,0.818181818,0.373737374,0.318181818,California,CA,1590
Value,,1,0.997684721,0.8%,1.3%,San Ramon,24,100.0%,50.0%,21,-22.2%,110.0%,32,2,2,450.689289502,-0.033393027,0.137169975,504000,0.044559585,0.098039216,424.994173551,0.053412570,0.131840386,$448K,-0.9%,34.0%,0.9,-1.4,0.3,7,-50.0%,0.0%,12/1/2014,30,12/31/2014,0.047619048,-0.211640212,-0.252380952,Condo/Co-op,"San Ramon, CA",place,0.291666667,-0.041666667,0.104166667,California,CA,17519
Value,,1,1.066595165,-4.5%,2.9%,Alameda,14,27.3%,40.0%,15,114.3%,200.0%,13,2,-19,450.315060597,0.051392277,0.188181195,451444,0.076789505,0.339596439,467.775467775,-0.049506378,0.109667787,$488K,-10.6%,0.5%,1.1,0.5,0.6,12,20.0%,200.0%,8/1/2015,30,8/31/2015,0.066666667,-0.219047619,-0.133333333,Condo/Co-op,"Alameda, CA",place,0.857142857,-0.051948052,0.157142857,California,CA,117
Value,,1,1.074552643,-2.2%,1.4%,Alameda,7,-22.2%,-22.2%,5,-16.7%,-50.0%,14,0,-3,477.888730385,0.032796421,0.009674686,548000,0.231460674,0.199124726,495.007132668,-0.034736091,0.015157485,$476K,-26.9%,-16.3%,0.7,0,-0.4,7,16.7%,-41.7%,5/1/2016,30,5/31/2016,,,,Condo/Co-op,"Alameda, CA",place,0.857142857,0.079365079,0.301587302,California,CA,117
Value,,1,1.106849921,-2.3%,6.9%,Oakland,75,25.0%,13.6%,90,21.6%,-10.0%,15,1,-2,463.130659767,0.072511098,0.149151838,479000,0.116550117,0.212658228,522.183040840,-0.009976357,0.237617522,$500K,0.5%,25.0%,1.2,0,-0.3,89,15.6%,-3.3%,9/1/2015,30,9/30/2015,0.111111111,0.003003003,-0.118888889,Condo/Co-op,"Oakland, CA",place,0.853333333,-0.063333333,0.262424242,California,CA,13654
Value,,1,0.984367960,-3.2%,-0.5%,Dublin,15,-31.8%,0.0%,20,17.6%,-69.2%,15,-8,-19,261.363636364,0.000759590,0.037461774,319000,-0.040601504,0.012698413,238.828967643,-0.086892489,0.021657250,$310K,-3.1%,14.8%,1.3,0.5,-3,19,58.3%,-24.0%,6/1/2012,30,6/30/2012,0.1,0.041176471,-0.1,Condo/Co-op,"Dublin, CA",place,0.4,-0.281818182,0,California,CA,5159
Value,,1,1.024428011,-2.0%,-1.8%,Alameda,2,-60.0%,-66.7%,10,150.0%,100.0%,51,37,38,475.420439845,0.060436563,0.084070796,445000,0.115288221,0.002252252,520.214963845,0.071958107,0.174943634,$570K,28.1%,48.6%,5,4.2,4.2,11,120.0%,83.3%,2/1/2016,30,2/29/2016,0.1,,,Condo/Co-op,"Alameda, CA",place,0.5,-0.3,-0.166666667,California,CA,117
